Date,Open,High,Low,Close,Volume
20241212  17:45:00,605.3,605.3,604.7,605.05,61
20241212  17:50:00,604.95,605.08,604.66,605.08,54
20241212  17:55:00,604.86,605.3,604.86,605.29,147
20241212  18:00:00,605.06,605.07,604.7,604.83,175
20241212  18:05:00,604.87,604.88,604.73,604.73,257
20241212  18:10:00,604.7,604.72,604.63,604.7,114
20241212  18:15:00,604.77,604.84,604.75,604.8,58
20241212  18:20:00,604.8,604.8,604.8,604.8,1
20241212  18:25:00,604.85,604.86,604.79,604.84,13
20241212  18:30:00,604.75,604.75,604.75,604.75,4
20241212  18:35:00,604.95,604.95,604.91,604.95,29
20241212  18:40:00,604.92,604.96,604.85,604.95,27
20241212  18:45:00,605.0,605.04,604.9,604.9,43
20241212  18:50:00,604.91,604.91,604.86,604.86,4
20241212  18:55:00,604.96,604.96,604.96,604.96,1
20241212  19:00:00,604.86,604.93,604.81,604.93,20
20241212  19:05:00,604.98,605.11,604.98,605.11,19
20241212  19:10:00,605.12,605.25,605.12,605.25,19
20241212  19:15:00,605.24,605.24,605.17,605.17,2
20241212  19:20:00,605.2,605.3,605.2,605.22,19
20241212  19:25:00,605.27,605.38,605.27,605.32,34
20241212  19:30:00,605.38,605.41,605.38,605.4,112
20241212  19:35:00,605.3,605.3,605.3,605.3,1
20241212  19:40:00,605.43,605.47,605.4,605.4,50
20241212  19:45:00,605.41,605.42,605.34,605.35,70
20241212  19:50:00,605.31,605.44,605.31,605.44,19
20241212  19:55:00,605.38,605.57,605.38,605.38,369
20241211  04:00:00,603.34,603.4,603.34,603.39,43
20241211  04:05:00,603.43,603.53,603.43,603.53,18
20241211  04:10:00,603.36,603.5,603.35,603.5,16
20241211  04:15:00,603.57,603.57,603.33,603.36,13
20241211  04:20:00,603.41,603.41,603.41,603.41,3
20241211  04:25:00,603.33,603.38,603.33,603.38,6
20241211  04:30:00,603.41,603.48,603.4,603.4,6
20241211  04:35:00,603.5,603.5,603.5,603.5,3
20241211  04:40:00,603.48,603.52,603.42,603.52,10
20241211  04:45:00,603.52,603.52,603.52,603.52,0
20241211  04:50:00,603.52,603.52,603.52,603.52,0
20241211  04:55:00,603.52,603.52,603.52,603.52,0
20241211  05:00:00,603.52,603.52,603.52,603.52,0
20241211  05:05:00,603.44,603.44,603.38,603.38,8
20241211  05:10:00,603.38,603.38,603.38,603.38,0
20241211  05:15:00,603.27,603.27,603.27,603.27,1
20241211  05:20:00,603.25,603.25,603.25,603.25,5
20241211  05:25:00,603.25,603.25,603.21,603.21,2
20241211  05:30:00,603.26,603.35,603.26,603.35,6
20241211  05:35:00,603.34,603.35,603.34,603.35,7
20241211  05:40:00,603.28,603.31,603.28,603.31,4
20241211  05:45:00,603.28,603.41,603.28,603.41,6
20241211  05:50:00,603.41,603.41,603.41,603.41,0
20241211  05:55:00,603.43,603.43,603.43,603.43,6
20241211  06:00:00,603.43,603.43,603.43,603.43,10
20241211  06:05:00,603.55,603.55,603.55,603.55,4
20241211  06:10:00,603.57,603.57,603.52,603.56,7
20241211  06:15:00,603.56,603.56,603.53,603.53,2
20241211  06:20:00,603.61,603.61,603.61,603.61,6
20241211  06:25:00,603.61,603.61,603.61,603.61,0
20241211  06:30:00,603.64,603.64,603.61,603.61,4
20241211  06:35:00,603.6,603.6,603.5,603.5,4
20241211  06:40:00,603.5,603.5,603.5,603.5,0
20241211  06:45:00,603.5,603.5,603.5,603.5,1
20241211  06:50:00,603.5,603.5,603.45,603.45,3
20241211  06:55:00,603.52,603.52,603.52,603.52,1
20241211  07:00:00,603.45,603.5,603.37,603.4,25
20241211  07:05:00,603.4,603.4,603.35,603.4,5
20241211  07:10:00,603.31,603.4,603.31,603.4,5
20241211  07:15:00,603.48,603.51,603.48,603.51,170
20241211  07:20:00,603.51,603.51,603.5,603.5,7
20241211  07:25:00,603.47,603.55,603.47,603.55,75
20241211  07:30:00,603.57,603.57,603.35,603.35,223
20241211  07:35:00,603.4,603.4,603.34,603.34,3
20241211  07:40:00,603.3,603.35,603.27,603.35,69
20241211  07:45:00,603.32,603.4,603.31,603.4,55
20241211  07:50:00,603.4,603.45,603.4,603.43,232
20241211  07:55:00,603.43,603.43,603.35,603.36,40
20241211  08:00:00,603.41,603.61,602.9,603.4,514
20241211  08:05:00,603.4,603.5,603.4,603.49,69
20241211  08:10:00,603.49,603.54,603.42,603.45,38
20241211  08:15:00,603.45,603.46,603.39,603.45,198
20241211  08:20:00,603.47,603.75,603.47,603.74,64
20241211  08:25:00,603.7,603.77,603.59,603.73,696
20241211  08:30:00,603.73,604.85,603.35,604.8,1641
20241211  08:35:00,604.82,605.25,604.8,605.0,1113
20241211  08:40:00,604.95,605.21,604.87,605.17,887
20241211  08:45:00,605.18,605.31,605.16,605.22,255
20241211  08:50:00,605.22,605.26,604.98,605.06,209
20241211  08:55:00,605.09,605.37,605.08,605.34,59
20241211  09:00:00,605.33,605.48,605.27,605.48,197
20241211  09:05:00,605.5,605.73,605.46,605.72,710
20241211  09:10:00,605.73,605.73,605.56,605.64,99
20241211  09:15:00,605.65,605.67,605.58,605.61,161
20241211  09:20:00,605.61,605.72,605.58,605.72,81
20241211  09:25:00,605.7,605.94,605.64,605.78,385
20241211  09:30:00,605.78,606.03,605.5,605.97,7739
20241211  09:35:00,605.97,606.09,605.82,605.84,5514
20241211  09:40:00,605.83,606.13,605.82,606.02,3057
20241211  09:45:00,606.01,606.58,605.96,606.34,5896
20241211  09:50:00,606.34,606.59,606.33,606.54,3965
20241211  09:55:00,606.54,606.66,606.39,606.61,3812
20241211  10:00:00,606.6,606.62,606.32,606.46,3069
20241211  10:05:00,606.47,606.87,606.46,606.86,3764
20241211  10:10:00,606.85,607.25,606.84,607.18,4536
20241211  10:15:00,607.18,607.18,606.74,606.8,2594
20241211  10:20:00,606.81,606.91,606.52,606.68,2191
20241211  10:25:00,606.68,606.72,606.45,606.54,1622
20241211  10:30:00,606.56,606.78,606.5,606.77,2286
20241211  10:35:00,606.77,606.88,606.67,606.83,1410
20241211  10:40:00,606.83,606.96,606.61,606.87,1639
20241211  10:45:00,606.86,607.01,606.8,606.96,1721
20241211  10:50:00,606.97,607.06,606.58,606.69,1655
20241211  10:55:00,606.69,606.81,606.48,606.78,1326
